img_path,tp,fp,fn,precision,recall,f1,avg_iou
C:\Users\T2510600\Downloads\BAOCR\raw\164_16_1.jpg,47,15,24,0.7580645161168055,0.661971830976592,0.7067669167848947,0.6350167037110169
C:\Users\T2510600\Downloads\BAOCR\raw\169_18_0.jpg,65,0,2,0.9999999999846153,0.9701492537168634,0.9848484843336777,0.6754752798137573
C:\Users\T2510600\Downloads\BAOCR\raw\173_15_1.jpg,74,3,5,0.96103896102648,0.9367088607476366,0.9487179482058679,0.6602299720885614
C:\Users\T2510600\Downloads\BAOCR\raw\184_15_0.jpg,54,6,4,0.899999999985,0.9310344827425684,0.9152542367727664,0.6552088808265244
C:\Users\T2510600\Downloads\BAOCR\raw\186_15_0.jpg,47,13,7,0.7833333333202778,0.8703703703542525,0.8245614029956908,0.650359619820192
C:\Users\T2510600\Downloads\BAOCR\raw\187_15_0.jpg,60,6,7,0.909090909077135,0.8955223880463354,0.9022556385842048,0.6552752450790411
C:\Users\T2510600\Downloads\BAOCR\raw\1_20_0.jpg,83,9,21,0.902173913033672,0.7980769230692493,0.8469387750034361,0.6420470306453734
C:\Users\T2510600\Downloads\BAOCR\raw\203_15_1.jpg,72,12,16,0.857142857132653,0.8181818181725207,0.8372093018161166,0.6368491617313323
C:\Users\T2510600\Downloads\BAOCR\raw\207_16_0.jpg,87,3,5,0.9666666666559259,0.9456521739027646,0.9560439555335103,0.6492877758362378
C:\Users\T2510600\Downloads\BAOCR\raw\208_14_1.jpg,97,1,2,0.9897959183572469,0.9797979797880828,0.9847715730940759,0.6353178278590188
C:\Users\T2510600\Downloads\BAOCR\raw\216_16_1.jpg,64,6,10,0.914285714272653,0.8648648648531775,0.8888888883769289,0.6468720795089993
C:\Users\T2510600\Downloads\BAOCR\raw\221_15_1.jpg,62,9,10,0.8732394366074191,0.8611111110991512,0.8671328666207637,0.6120351843089876
C:\Users\T2510600\Downloads\BAOCR\raw\225_15_1.jpg,68,14,24,0.8292682926728138,0.7391304347745746,0.7816091948949663,0.6403888014937561
C:\Users\T2510600\Downloads\BAOCR\raw\236_16_1.jpg,64,2,3,0.9696969696822773,0.9552238805827578,0.9624060145231499,0.682409536357119
C:\Users\T2510600\Downloads\BAOCR\raw\237_15_1.jpg,74,4,5,0.9487179487057856,0.9367088607476366,0.9426751587236804,0.6718952170670595
C:\Users\T2510600\Downloads\BAOCR\raw\258_27_0.jpg,56,3,6,0.949152542356794,0.9032258064370448,0.9256198341957517,0.653569988732203
C:\Users\T2510600\Downloads\BAOCR\raw\26_21_0.jpg,96,15,13,0.8648648648570733,0.8807339449460483,0.8727272722193801,0.6886607084200955
C:\Users\T2510600\Downloads\BAOCR\raw\37_23_0.jpg,43,6,11,0.8775510203902541,0.7962962962815501,0.8349514557956452,0.6377213086341014
C:\Users\T2510600\Downloads\BAOCR\raw\38_21_0.jpg,63,12,29,0.8399999999887999,0.6847826086882088,0.7544910174602172,0.6752462469266327
C:\Users\T2510600\Downloads\BAOCR\raw\41_11_0.jpg,75,11,9,0.8720930232456733,0.8928571428465135,0.882352940666159,0.6516196506088511
C:\Users\T2510600\Downloads\BAOCR\raw\4_20_0.jpg,32,5,6,0.8648648648414902,0.8421052631357342,0.8533333328106667,0.6591830140706774
C:\Users\T2510600\Downloads\BAOCR\raw\5_22_0.jpg,46,6,10,0.8846153845983729,0.8214285714139031,0.8518518513367628,0.608422525133291
C:\Users\T2510600\Downloads\BAOCR\raw\73_14_0.jpg,49,5,7,0.9074074073906037,0.874999999984375,0.890909090393058,0.6615038548962189
C:\Users\T2510600\Downloads\BAOCR\raw\75_13_0.jpg,78,5,12,0.9397590361332558,0.866666666657037,0.9017341035366366,0.6699704526264199
C:\Users\T2510600\Downloads\BAOCR\raw\78_14_0.jpg,47,11,8,0.8103448275722355,0.8545454545299174,0.8318584065652752,0.6810595352115373
C:\Users\T2510600\Downloads\BAOCR\raw\80_14_0.jpg,40,26,13,0.6060606060514233,0.7547169811178356,0.6722689070576936,0.7118712842225966
C:\Users\T2510600\Downloads\BAOCR\raw\83_14_0.jpg,73,5,18,0.9358974358854372,0.8021978021889868,0.8639053249365217,0.6879375944890458
C:\Users\T2510600\Downloads\BAOCR\raw\95_13_0.jpg,96,14,25,0.8727272727193388,0.7933884297455092,0.8311688306627686,0.6812593042095907
C:\Users\T2510600\Downloads\BAOCR\raw\98_21_1.jpg,40,0,10,0.9999999999750001,0.7999999999840001,0.8888888883753087,0.7054264431011298
